0x006708d8	..\Data\MsgDat\
0x00681544	irish-english
0x00681554	german-swiss
0x00681564	german-luxembourg
0x00681578	german-lichtenstein
0x0068158c	german-austrian
0x0068159c	french-swiss
0x006815ac	french-luxembourg
0x006815c0	french-canadian
0x006815d0	french-belgian
0x006815e0	english-usa
0x006815ec	english-us
0x006815f8	english-uk
0x00681604	english-trinidad y tobago
0x00681620	english-south africa
0x00681638	english-nz
0x00681644	english-jamaica
0x00681654	english-ire
0x00681660	english-caribbean
0x00681674	english-can
0x00681680	english-belize
0x00681690	english-aus
0x0068169c	english-american
0x006816b0	dutch-belgian
0x006816c0	chinese-traditional
0x006816d4	chinese-singapore
0x006816e8	chinese-simplified
0x006816fc	chinese-hongkong
0x00681710	chinese
0x00681720	canadian
0x0068172c	belgian
0x00681734	australian
0x00681740	american-english
0x00681754	american english
0x00681768	american
0x00681787	@Illegal byte sequence
0x006817a0	Directory not empty
0x006817b4	Function not implemented
0x006817d0	No locks available
0x006817e4	Filename too long
0x006817f8	Resource deadlock avoided
0x00681814	Result too large
0x00681828	Domain error
0x00681838	Broken pipe
0x00681844	Too many links
0x00681854	Read-only file system
0x0068186c	Invalid seek
0x0068187c	No space left on device
0x00681894	File too large
0x006818a4	Inappropriate I/O control operation
0x006818c8	Too many open files
0x006818dc	Too many open files in system
0x006818fc	Invalid argument
0x00681910	Is a directory
0x00681920	Not a directory
0x00681930	No such device
0x00681940	Improper link
0x00681950	File exists
0x0068195c	Resource device
0x0068196c	Unknown error
0x0068197c	Bad address
0x00681988	Permission denied
0x0068199c	Not enough space
0x006819b0	Resource temporarily unavailable
0x006819d4	No child processes
0x006819e8	Bad file descriptor
0x006819fc	Exec format error
0x00681a10	Arg list too long
0x00681a24	No such device or address
0x00681a40	Input/output error
0x00681a54	Interrupted function call
0x00681a70	No such process
0x00681a80	No such file or directory
0x00681a9c	Operation not permitted
0x00681ab4	No error
0x00681ae8	runtime error 
0x00681afc	TLOSS error\r\n
0x00681b0c	SING error\r\n
0x00681b1c	DOMAIN error\r\n
0x00681b2c	R6028\r\n- unable to initialize heap\r\n
0x00681b54	R6027\r\n- not enough space for lowio initialization\r\n
0x00681b8c	R6026\r\n- not enough space for stdio initialization\r\n
0x00681bc4	R6025\r\n- pure virtual function call\r\n
0x00681bec	R6024\r\n- not enough space for _onexit/atexit table\r\n
0x00681c24	R6019\r\n- unable to open console device\r\n
0x00681c50	R6018\r\n- unexpected heap error\r\n
0x00681c74	R6017\r\n- unexpected multithread lock error\r\n
0x00681ca4	R6016\r\n- not enough space for thread data\r\n
0x00681cd0	\r\nabnormal program termination\r\n
0x00681cf4	R6009\r\n- not enough space for environment\r\n
0x00681d20	R6008\r\n- not enough space for arguments\r\n
0x00681d4c	R6002\r\n- floating point not loaded\r\n
0x00681d74	Microsoft Visual C++ Runtime Library
0x00681d9c	Runtime Error!\n\nProgram: 
0x00681dbc	<program name unknown>
0x00681de4	SunMonTueWedThuFriSat
0x00681dfc	JanFebMarAprMayJunJulAugSepOctNovDec
0x00681e40	GetLastActivePopup
0x00681e54	GetActiveWindow
0x00681e64	MessageBoxA
0x00681e70	user32.dll
0x00681e7c	1#QNAN
0x00681e84	1#INF
0x00681e8c	1#IND
0x00681e94	1#SNAN
0x0068ffea	B#C#D#E#F#G#H#I#J#K#L#M#N#O#P#Q#R#S#T#U#V#W#X#Y#Z#N!@!O!0!2!.!a#b#c#d#e#f#g#h#i#j#k#l#m#n#o#p#q#r#s#t#u#v#w#x#y#z#P!C!Q!1!o!
0x006a0000	JbKbxBLbMbNbWJ8XeYcO%p0\mB&TTM1Q[3}G52?B`f;JafbfT>cf$WUMef]<dfffgfnB>=hffB':ifjfR3iQ%?kfoFlfmfnf-Fof'Ipfqfrf9esftfbBufvfhVwfxfG9;w:w>w<w!:?w@wBwAwDwCwEwFwGwhK_8TwUwVwXwZwWw[wYwWW\w]w^w_w`wK[*Xwem9}?j;IwGFHwJwLwKwMw:NNw'DcSOv3BPvQvRvSvTvVv+1WvXvYvZv[v\v]v^vJO_v`vavbvcvdvp@evfvgvhvivjvkvlvmvnvovpvqvrvsvtv(>uvvvwvxvzHyvzv{v|v}v~v!w"w#w$w%w&w'w(wn1)w*w+w,w-w[A.w/wqD/p&<0pyC8E;Q1p2p3p4p5p<QlQ7p6p'TRM8p:p9p;p<pk8=ph:>p?pi>@pl6ApBpCpDp5HEpFpGptEHpIpJp=wKpLpMpNpOpW:PpQpRpSpTpUpVpXp%SWpYp:u9Bdwewfwgwhw4BjwkwsBptotiBawbwF;dYrJh@$pZ:-G,Dlwmwnwpwowqwtwswrwuwvwimjmkm<v=v>v&6>XD9;X1\sJwwxwyw{wzwG1|w}w~wkF4l]33v4vdA5v6v7v8v9v:v#H;vzA(9hmj9_Y!#"###g!%#&#'#(#)#*#+#,#-#.#/#0#1#2#3#4#5#6#7#8#9#:#;#<#=#>#?#@#A#B#C#D#E#F#G#H#I#J#K#L#M#N#O#P#Q#R#S#T#U#V#W#X#Y#Z#[#\#]#^#_#`#a#b#c#d#e#f#g#h#i#j#k#l#m#n#o#p#q#r#s#t#u#v#w#x#y#z#{#|#}#+!i!j!~#$#
0x006b83fd	rCsMsQsLsbtstqtutrtgtnt
0x007024a9	rCsMsQsLsbtstqtutrtgtnt
0x00723f68	"#%&')*+,-./246789:;=>?ABCEFGHIJKLNPQRSTUVWZ[]^cdefjlopqrsvwyz{
0x00723fc4	 !"#$%'()*+,-.1245689:;<=>ACDEFGHIJLMNPQRTUVWXYZ[\]^_`abcdef
0x00724073	 !"#$%&'()*+,-./0123456789:;<=>?@AEGHIKLMNOPQTXYZ[\]`acdefghijk
0x007240cc	 #$%&()+,-./0123456789:;<=>?@ABCDEHIKMOPQRSTUXZ^_`adefghiklmnop
